name,short_description,detail,tags,established_date,size,address,branches,impressum_link,website
snapshotfilm – Michael Geyer,Professionelle Medienproduktionen von Bild und Film bis hin zur Postproduktion sowie 2D/3D-Animationen,ImagefilmeWerbereportageProduktfilmeIndustriefilmeKino-SpotsTV-ProduktionenLuftbildaufnahmen 360°-Film-/Fotoaufnahmen3D-Animationen2D-Animationen/-grafikenVideoschnittTon,"Filmaufnahmen, Drohne, After Effects, DaVinci, Photoshop, Cinema4D, Rendering",1989,5—9,snapshotfilm – Michael GeyerD-85774 UnterföhringDeutschland,"Werbeagenturen
Animation/
3D
Film/
Video",https://snapshot-film.de/impressum.htm,https://snapshot-film.de/
nau media house,"Mobiles Livestreaming für Festivals, Brands & Events","nau media house ist ein full-Service Livestreaming Dienstleister based in Berlin, München und Aachen. Spezialisiert auf mobiles Livestreaming mit LTE-Bonding von LiveU für Outdoor Events. nau media house ist ein Produkt der Jakobs Medien GmbH.","Livestream, LTE-Livestreaming, social media livestream, video livestream, medienproduktion",2017,5—9,nau media houseUrbanstraße 45D-14057 BerlinDeutschland,"Eventagenturen
Werbeagenturen
Film/
Video",https://jakobsmedien.de/impressum.html,http://www.naumediahouse.de/
WuxDesign UG,UX/UI Design Studio aus Berlin,"Wir helfen anderen Unternehmen, das Kundenerlebnis durch visuelles Design und UX-Strategie zu verbessern. Unsere Kunden sind Unternehmen und Start-ups, welche ihre Kundenbindung erhöhen und auf dem Markt wettbewerbsfähiger sein wollen.Wir sind davon überzeugt, dass digitale Dienstleistungen und Produkte mit einer intelligenten Designlösung gestaltet werden sollen. Während Sie hervorragende und innovative Dienstleistungen entwickeln, helfen wir Ihnen bei der Entwicklung von Designstrategien, Prozessen innerhalb des Design-Teams, wichtigen Meilensteinen und der effizienten Zusammenarbeit zwischen Marketing-Team und Designern.Unser Team von Experten und Fachleuten beschäftigt sich mit der Entwicklung umfassender digitaler Lösungen für Unternehmen. Wir behalten immer die neuesten UX/UI-Trends im Auge und konzentrieren uns auf die Verbesserung der Geschäftsleistung.","UI design, UX design, Webdesign, App design, Sketch, Photoshop, Illustration, Grafikdesign, Responsive Webdesign",,5—9,WuxDesign UGInformation nur für MitgliederD-10115 BerlinDeutschland,"Screendesign
Internetagenturen
Corporate Designer",http://wuxdesigns.com/impressum,http://wuxdesigns.com/
Cyberday GmbH,E-Commerce Agentur,"CYBERDAY bietet ihren Kunden seit 1999 die ganzheitliche Umsetzung ihrer E-Commerce-Plattform. Dabei legt die Agentur nicht nur Wert auf eine saubere Implementierung, sondern setzt bereits im Vorfeld auf ein funktionierendes Layout und Konzept, bei der Umsetzung auf bewährte Prozesse, im Betrieb auf ein schnelles und optimiertes Hosting und zuletzt auf eine perfekte Integration im Marketing. Mit einem Team aus E-Commerce-Experten entwickelt die Agentur branchenübergreifend Lösungen für Kleinunternehmen, den Mittelstand, Enterprise-Unternehmen und Herstellern – und das alles aus und in Deutschland.",,1999,5—9,Cyberday GmbHD-80336 MünchenDeutschland,Internetagenturen,,https://www.cyberday-gmbh.de/
KNE – Agentur für nachhaltige Kommunikation und Entwicklung GmbH,Strategie | Content | Social Media,.,,2011,10—19,KNE – Agentur für nachhaltige Kommunikation und Entwicklung GmbHD-10719 BerlinDeutschland,"Werbeagenturen
Internetagenturen
Corporate Designer",https://www.kne-agentur.de/impressum,https://kne-agentur.de/
Happy Marketing Solutions GmbH,Premium Gewinnspiel-Lösungen mit Full Service,"HAPPY Marketing Solutions ist der Gewinnspiel-Dienstleister in Deutschland. Bei uns bekommen Sie alles, was Ihr Unternehmen braucht, um großartige Gewinnspiele, Verlosungen und Preisausschreiben zu erstellen und zu veranstalten. Mit integrierter Gewinnspielversicherung und vielen exklusiven Add-ons..Wir holen mit unserer Lösung das maximale Potenzial aus jeder Gewinnspiel-Kampagne heraus und sorgen dafür, dass Sie den optimalen Nutzen generieren können. Wenn Sie ein Gewinnspiel erstellen und veranstalten wollen, ist HAPPY Marketing Solutions der richtige Partner für Sie!","Gewinnspiel erstellen, Gewinnspiel-Dienstleister, Gewinnspielversicherunng",2012,5—9,Happy Marketing Solutions GmbHD-63303 DreieichDeutschland,"Messe
Werbeagenturen
Internetagenturen",https://www.happysolutions.de/impressum/,https://www.happysolutions.de/
plan B Werbeagentur GmbH,plan B Full-Service-Werbeagentur aus Bremen!,"plan B ist eine klassische Full-Service-Werbeagentur für den Printbereich und die digitale Kommunikation. Und das bereits seit 1998. Wir gehen mit Herzblut an große und kleine Projekte. Vom Briefbogen bis zur Internetseite, vom Flyer bis zum umfangreichen Katalog. Von der kompletten Corporate Identity bis zum schlichten Giveaway, von der Logoentwicklung über die Texterstellung bis zur Bildbearbeitung und all dem, was dazwischen liegt. Dass wir auch die Druckabwicklung übernehmen – wenn Sie wollen – ist doch selbstverständlich. Unser plan B war und ist es, Ihnen zuzuhören und Ihre Wünsche zu beherzigen. Ehrlich, menschlich und nicht abgehoben zu handeln – nach innen und außen.Individuell. Persönlich. Mit Herzblut.","Werbeagentur, Werbung, Corporate Design, Print Medien, Digitale Medien, Packaging",1998,5—9,plan B Werbeagentur GmbHD-28195 BremenDeutschland,"Werbeagenturen
Typografen/
Layouter
Corporate Designer",http://www.planb-bremen.de/impressum/,https://www.planb-bremen.de/
grapevine marketing GmbH,Agentur für Employer Branding und Personalmarketing,"Als Agentur für Employer Branding und Personalmarketing bietet grapevine Lösungen zur Erfüllung Ihrer Positionierungs- und Recruitingziele. In unseren Büros in München kümmern sich rund 40 Experten darum, dass Arbeitgeber und Bewerber zusammenfinden – und bleiben.Uns geht es uns vor allem darum, Ihre offenen Stellen bestmöglich und nachhaltig zu besetzen. Das erreichen wir kurzfristig durch effektives Personalmarketing und langfristig durch eine authentische Positionierung Ihrer Arbeitgebermarke. Dabei zeichnet uns eine enge Verzahnung der Diziplinen Strategie, Kreation und Kommunikation aus einer Hand aus. Das hauseigenes Team aus Digitalexperten stellt dabei unsere Innovationskraft sicher. Unseren Kunden schätzen in der Zusammenarbeit vor allem die Expertise, Einsatzbereitschaft und Flexibilität sowie den Ideenreichtum und fachlichen Austausch. Wir sind offen, ehrlich, pragmatisch, lösungsorientiert, messbar, transparent und nicht zuletzt familiär und humorvoll – das spiegelt sich auch in unserer eigenen Unternehmenskultur wider.",,2010,20—49,grapevine marketing GmbHD-80798 MünchenDeutschland,Werbeagenturen,https://grapevine-marketing.com/impressum,https://grapevine-marketing.com/
HGD Media GmbH,Webagentur,"HGD Media steht für professionelles Webdesign mit absoluter Verlässlichkeit. Für Kunden aus ganz Deutschland erstellen wir individuelles Webdesign für professionelle Internetseiten. Als Spezialist für Webdesign bieten wir als kreatives Team sämtliche Lösungen für ein professionelles Online-Marketing. Nach den Vorstellungen und Wünschen unserer Kunden kreieren wir Ihren ganz individuellen Internetauftritt. Ob Webdesign, Print, CMS (Content Management System), Responsive Design, Shop oder SEO Suchmaschinenoptimierung. HGD Media erstellt persönliche und individuelle Internetauftritte auf Wunsch. Mobile Internetseiten, App-Programmierung und Print vervollständigen unser Angebot.","Joomla, Bootstrap, PHP, HTML, CSS, Javascript",2014,5—9,HGD Media GmbHD-22851 NorderstedtDeutschland,"Internetagenturen
Web-
Konzepter
Corporate Designer",https://hgd-media.de/impressum,https://hgd-media.de/
Vibrand Media,Medienagentur mit Fokus auf Videomarketing für Social Media,"Wir sind Vibrand Media eine junge Medienagentur mit Fokus auf Videomarketing für attraktive Social Media Auftritte.Wir sind ein junges, verrücktes Team, welches Lust hat geile Projekte mit coolen Kunden umzusetzen und das den Schaffungsprozess liebt.Wir sind auf der Suche nach Verstärkung und freuen uns, wenn wir Dich bald bei uns begrüßen dürfen!",,2019,5—9,Vibrand MediaD-63263 Neu-IsenburgDeutschland,"Eventagenturen
Werbeagenturen
Film/
Video",,https://www.vibrand-media.com/
Erotik Callcenter,Erotik Callcenter als Dienstleistung,"Erotik Callcenter ist ein Service und eine gute Gelegenheit für Sie um Ihrer Webseite mehr Content zu verleihen, somit können Sie mehr Zielgruppen generieren! Bei Fragen oder Unklarheiten können Sie sich gerne jederzeit an uns wenden. Wir freuen Ihnen mit unserer Dienstleistung dienen zu dürfen!",Erotik Callcenter,2014,500—999,Erotik CallcenterD-30916 IsernhagenDeutschland,"Werbeagenturen
Internetagenturen",,http://erotik-callcenter24.de/
Ländle-Web,"Wir helfen unseren Kunden zu mehr Besuchern/Traffic, mehr Kunden, mehr Umsatz und mehr Mitarbeitern","Kunden wie Sie genießen den full-service Komfort bei der erfolgreichen Umsatzsteigerung sowie der erfolgreichen Mitarbeitergewinnung.Wir helfen Ihnen die richtigen Kontakte zu gewinnen, um Ihre Ziele im Umsatz oder Mitarbeiterzahl zu erreichen.Unsere Werkzeuge Ihre Webseite wie z.B.: Joomla, Wordpress, Typo3Webshops wie z.B.: JTL, Shopify, MagentoIhr Suchmaschinen-Online-Marketing wie z.B.: Google-SEO, Google-Ads, Bing-SEO, Bing-AdsIhre privaten Social-Media wie z.B.: Facebook, Facebook-Ads, Instagram, Instagram-AdsIhre geschäftlichen Social-Media wie z.B.: Xing, Xing-Ads, LinkedIn, LinkedIn-Adsindividuell programmierte Bots zur vollautomatische Kundengewinnung über Online-Portale","SEO, Sem, Smm, Joomla, Wordpress, Java, Bots",,5—9,Ländle-WebD-70567 StuttgartDeutschland,"Werbeagenturen
Internetagenturen
Web-
Konzepter",http://www.laendle-web.de/impressum,https://www.laendle-web.de/
counterpart group GmbH,Mediengestalter / Reinzeichner mit Online-Erfahrung (M/W),"Über die Counterpart Group:Die Counterpart Group mit Sitz in Köln wurde 1991 mit dem Anspruch gegründet, alle Kommunikationsleistungen mit einer strategischen, medienübergreifenden Beratung zu verknüpfen. Heute sind wir eine der führenden Agenturen in Köln. Zum Netzwerk gehören Units aus den Bereichen Brands, Digital, Public Relations und Content. Damit vereint die Unternehmensgruppe alle kommunikativen Disziplinen unter einem Dach und ist für ihre Kunden ein kompetenter und kreativer Sparringspartner, eben ein echter Counterpart.","Mediengestalter, Reinzeichnung, Werbeagentur, Digital, Onlinemarketing",1991,20—49,counterpart group GmbHD-50672 KölnDeutschland,"Werbeagenturen
Internetagenturen
PR-
Agenturen",https://www.counterpart.de/jobs/,https://www.counterpart.de/
roba.one,Web | Print | IT | Consulting,"Wir entwickeln Lösungen … für Kunden mit speziellen Anforderungen, über ganz Deutschland hinweg verteilt. Unsere Kunden kommen aus den Bereichen: Automotive, Medizin, Transportwesen, Projektentwicklung und Architektur. Das Spektrum unseres interdisziplinären Teams umfasst die Bereiche: DesignProgrammierungProjektmanagement SupportConsulting",,2014,5—9,roba.oneD-34123 KasselDeutschland,"Werbeagenturen
Internetagenturen
Corporate Designer",https://romanbartel.de/index.php/impressum.html,https://roba.one/
Handke Konzept,Agentur für Kommunikation und Events,"Handke Konzept steht für maßgeschneiderte Kommunikations- und Eventlösungen und ganz persönliche, umfassende Betreuung. Unsere Konzepte, Ideen und Gestaltungslösungen ziehen wir nicht aus vorhandenen Schubladen, sondern entwickeln sie mit viel Herzblut und Kreativität individuell für Ihre Marke und Ihre kommunikative Aufgabe.","Konzept, Idee, Grafik, Text, Mediengestaltung, Events",2003,5—9,Handke KonzeptD-79098 FreiburgDeutschland,"Location-
Agenturen
Eventagenturen
Werbeagenturen",https://www.handke-konzept.de/impressum.html,https://www.handke-konzept.de/
Werbeagentur Goldweiß,"Wir bieten sowohl Lösungen für den professionellen Webauftritt, als auch Softwarelösungen an","Wir bieten sowohl Lösungen für den professionellen Webauftritt, als auch Softwarelösungen an","JavaScript, Webdesign, PHP, WordPress, Programmierung, node.js, HTML5, CSS, Photoshop, Software, Bildbearbeitung, Android, Ios",2017,5—9,Werbeagentur GoldweißD-10437 Berlin - Prenzlauer BergDeutschland,"Werbeagenturen
Internetagenturen
PR-
Agenturen",https://www.agentur-goldweiss.de/rechtlich/impressum.php,https://www.agentur-goldweiss.de/
Fontline Werbung & Beschriftung GmbH,"Werbetechnik, Digitaldruck, Fahrzeugbeschriftung, Event- und Messebranding","WIR GEBEN IHRER KOMMUNIKATION WIRKUNGKommunikation ist extrem vielseitig. Sie kann knallen, laut sein, grell und witzig aber auch dezent und edel. Doch egal in welchem Look eine Botschaft daherkommt, über Ihren Erfolg entscheidet letztlich nur Ihre Wirkung.Wir arbeiten mit Leidenschaft daran, dass Ihre Kommunikation lange in Erinnerung bleibt.Darum nutzen wir modernste Technologien und Materialien über den gesamten Bereich der Werbetechnik und entwickeln stets individuelle und nachhaltige Strategien.Wir setzen Ihre Ideen und Botschaften kreativ in Szene, nehmen enge Zeitpläne sportlich und finden die optimale Lösung für jedes noch so verrückte Projekt.",,2002,10—19,Fontline Werbung & Beschriftung GmbHAlexander-Meißner-Straße 56D-12526 BerlinDeutschland,"Messe
Werbeagenturen
Typografen/
Layouter",http://https://fontline.de/impressum,https://fontline.de/
MarketPress GmbH,Geschäftsführer,"MarketPress: Ein kleines junges Unternehmen im Herzen Sachsens, aus Dresden. Wir stehen für innovative und führende Produkte in und um WordPress & WooCommerce. Wir mögen es frech aber qualitativ. Wir arbeiten nicht, wir machen das was uns Spaß macht. Coden.","WordPress, WooCommerce, Software, PHP, Developer, Dresden, Hoyerserswerda",2016,5—9,MarketPress GmbHD-01277 DresdenDeutschland,"Internetagenturen
Web-
Konzepter",http://www.marketpress.de/impressum,https://marketpress.de/
Better DAY event & promotion GmbH,Event- & Promotionagentur,"BETTER DAY event & promotion GmbH gehört seit 16 Jahren zu den europaweit agierenden Agenturen mit den Schwerpunkten Live Kommunikation, Personalpromotions, Creative & Merchandise. Mit über 28 festen Mitarbeiten am Standort Berlin und deutschlandweit mit über 80 arbeitnehmerüberlassenen Mitarbeitern realisiert BETTER DAY Projekte für internationale Konzerne aus den Bereichen Mobility, Entertainment, Unterhaltungselektronik, Fashion und Lifestyle. Since over 16 years BETTER DAY is an europewide operating agency with the focus on live communication, sales force, creative & merchandise services. Over 28 full employees in the headquarter in Berlin and more than 80 employees (temporary labour) in whole Germany are working on mobility, entertainment, fashion and lifestyle projects.","Event, Promotion, Live-Kommunikation, Merchandise, Vertrieb, Recruiting, Creative, Entertainment",,100—199,Better DAY event & promotion GmbHD-12161 BerlinDeutschland,"Eventagenturen
Werbeagenturen
Entwicklung",http://betterday.tv/de/impressum,
WebmediaWerk®,Das Unternehmen WebmediaWerk® ist eine bundesweit agierende Full-Service-Agentur für Online Dienstleistungen,WebmediaWerk ist ein Agentur-Netzwerk verschiedener Onlinedienstleister. Durch unser vielfältiges Produkt und Dienstleistung-Angebot können wir unsere Kunden den optimalen Dienstleistung-Mehrwert bieten.,,2007,10—19,WebmediaWerk®D-10117 BerlinDeutschland,"Werbeagenturen
Internetagenturen
PR-
Agenturen",https://www.webmediawerk.com/impressum/,https://www.webmediawerk.com/
European Patent Office,Agentur,Agentur,"Grafik, Design, Designer, Art director, Socialmedia, Web content, Konzeption",1977,100—199,European Patent OfficeD-69140 MunichDeutschland,"Eventagenturen
Werbeagenturen
Internetagenturen",http://https://www.epo.org/index_fr.html,https://www.epo.org/index_fr.html
Swoop Marketing Ltd,Key Account / Sales,"01Webseiten & PortaleGeschäftswebseiten, individuelle durch Experten gestaltete WebseitenMietwebseitenkomplexe Online Portale (mandantenfähig, multilingual, Rechtemanagement)CMS Systeme, Onepager, FrameworksKonfiguratorenShop SystemeWir sind dein Rat- und TipgeberÜbersichtliche und faire TarifeMade in Germany02 Hosting & IndividualkonfigurationenDeutsches Rechenzentrum, auf Wunsch auch Schweiz oder andere NationenSpeicher (Web und Email) getrennt skalierbarDu möchtest mehr Speicher, oder eine eigene VM?Individualsysteme mit Redundanz gefällig?Für dein Web-Projekt entwickeln wir die passende Hardware-Hosting-LösungOwncloud & Groupwaresysteme auf deine Bedürfnisse angepasstBuchungssyteme, Customsoftware – wir passen sie auf deine Hardware anWerde Reseller und verdiene mit uns Geld03 Ranking & MarketingDeine Content Cloud, Dienstleister- und Lieferantensuche kreuzt CMS ToolSchnittstelle zu Textern mit redaktionellem HintergrundB2B Suche, B2B Adressmaterialautomatisierter Direktbriefversand Toolverschicke im Handumdrehen Werbung per PostWir behalten den Überblick über die große Welt deiner Social MediaWir tragen dich in Verzeichnisdienste ein, suchen BacklinkmöglichkeitenWir erstellen Facebook Pages04 Swoop Agency LeistungenDie etwas andere AgenturDienstleister und Portalbetreiber in einemDir gefallen unsere Werbevideos?Du möchtest Adwords verwenden, aber das Budget im Griff behalten?Du verstehst warum gute Texte wichtig sind, kauf sie ein!Du brauchst Unterstützung bei deiner Planung?",,2013,5—9,Swoop Marketing LtdD-13599 BerlinDeutschland,"Werbeagenturen
Typografen/
Layouter
Web-
Konzepter",,https://swoop.de/
kayskhalil,Motion Design,"kayskhalil ist ein konzeptuelles Motion Design Studio mit Sitz in Hamburg. Wir entwerfen, animieren und produzieren Inhalte für Marken, Werbung, TV-Sender, Webseiten, Events, Apps, Filme, Unternehmen und den öffentlichen Sektor.​​​​​​​",Motion Design,,5—9,kayskhalilD-22767 HamburgDeutschland,"Werbeagenturen
Animation/
3D
Film/
Video",,https://www.kayskhalil.de/
Studio Faitout GmbH,Interieurfotografie,"HOCHWERTIGE INTERIEURFOTOGRAFIEProfessionelle Produktfotos verleihen Ihrem Produkt eine Geschichte. Sie sind Hersteller,Importeur oder Großhändler? Wir rücken Ihr Produkt ins richtige Licht. Unser Unternehmenist spezialisiert auf Interieurfotografie. Mit unserem Team aus Fotografen, Grafikdesignern,Setbauern und Innenausstattern erarbeiten wir ein maßgeschneidertes Konzept und gebenIhrem Möbelstück die Aufmerksamkeit, die es braucht, um Qualität, Funktionalität undWiedererkennungswert zu vermitteln.","fotografie, werbefotografie, interieurfotografie, möbelfotografie",2007,10—19,Studio Faitout GmbHD-49328 MelleDeutschland,"Werbeagenturen
Still-
Fotografen/
Produktfotografen
Werbung",http://www.studio-faitout.de,http://studio-faitout.de/
simpleshow,Marktführer für Erklärvideos,"simpleshow macht es einfach. Und einfach kommt an! Seit 2008 bringen wir dieThemen unserer Kunden auf den Punkt – weltweit und mit über 190 Mitarbeitern. Unsere Erklärvideo-Formate begeistern hunderte renommierte Kunden aus Politik, Bildungswesen und Wirtschaft (z.B. Daimler, Microsoft, Deutsche Telekom, Bayer, Airbus oder IKEA).","Erklärvideo, Konzepter, Texter, Photoshop, Storytelling, Konzeption, Vereinfachung",2008,100—199,simpleshowD-10785 BerlinDeutschland,"Werbeagenturen
Film/
Video
Texter",,https://simpleshow.com/de-de/
ruempelrechner.com,Sehr günstige und schnelle Räumungen – Festpreisgarantie Entrümpelung Haushaltsauflösung Wohnungsauflösung,"➤ Entrümpelung ✓ Wohnungsauflösung ✓ Haushaltsauflösung ✓ Festpreis ✓ Schnell ✓ Günstig ✓ Besenrein ✓ kostenlose Besichtigung✓ Räumung✓ Messie✓ Entsorgung✓ Betriebsauflösung Firmenauflösung » Schnell » Günstig » Sauber➤ Entrümpelung ✓ Schnell ✓ Günstig ✓ Besenrein ✓ Wohnungsauflösungen und Haushaltsauflösungen zum Pauschalpreis✓ kostenlose Besichtigung➤ Entrümpelung ✓ Günstige Entrümpelungen ✓ Wohnungsauflösungen und Haushaltsauflösungen zum Festpreis inkl. Wertanrechnung und Besichtigung.➤ Wir übernehmen für Sie professionelle Entrümpelungen, Wohnungsauflösungen und Haushaltsauflösungen ✓ Jetzt kostenloses Angebot anfordern➤ Unsere Standorte in ganz Deutschland und Österreich, Schweiz ✓ Entrümpelungen ✓ Haushaltsauflösungen ✓ Firmenauflösungen ✓ Günstig ✓ Schnell ✓ Besenrein ✓ FestpreisgarantieHaushaltsauflösung – Was sich über die Jahre und oder Jahrzehnte im Haushalt ansammelt: Hier könnte man viele Dinge sofort entsorgen, solange aber noch Platz im Keller, Schuppen oder dem Dachboden ist, ist das nicht notwendig, denkt man oft.Irgendwann ist Schluss, nichts geht mehr – wirklich gar nichts. Der Dachboden quillt über, in der Garage wird es immer enger und der Keller ist voll gestellt, dass Sie nichts wiederfinden. Sie müssen jetzt entrümpeln!Wer hat schon Zeit und Kraft für eine Haushaltsentrümpelung oder eine Wohnungsentrümpelung? Wie soll der ganze Krempel überhaupt weggebracht werden? Viele Dinge müssen ja auch nicht auf den Müll, die kann vielleicht noch jemand gebrauchen oder sogar verwerten.Wenn Sie an diesen Punkt gekommen sind, ist unser ruempelrechner.com genau richtig für Sie. Wir von ruempelrechner.com entrümpeln wirklich alles – ganz nach Ihren Wünschen und Vorgaben. Wir trennen Müll und Abfall von verwertbaren Gegenständen und kümmern uns um eine umweltgerechte Beseitigung nach den geltenden Vorschriften.Räumung ✓ entrümpeln ✓ entsorgung ✓ sterbefall ✓ messie hilfe ✓ entruempelung ✓ auflösung ✓ haus ausräumen lassen ✓ nachlassankauf ✓ wohnung leer räumen ✓ rümpel ✓ hausrat ✓ dachboden ✓ keller ✓ messie","Wohnungsauflösung, Entrümpelung, Entsorgung, Messie Wohnung, Haus Müll, Schmutz, Haushaltsauflösung, Ausräumen, Weg Bringen",2015,20—49,ruempelrechner.comD-80331 MünchenDeutschland,"Internetagenturen
Web-
Konzepter",https://ruempelrechner.com/impressum/,https://ruempelrechner.com/
Pinguinweb GmbH,"Webdesign, Online Marketing",Pinguinweb erstellt Webseiten und Shops mit Fokus auf hohe Conversion Rates. Wir haben uns auf die SEO-optimierte Durchführung von Relaunches spezialisiert und bieten ein breites Spektrum an Maßnahmen rund um das Thema „online“.,"wordpress, prestashop, webdesign, joomla, relaunch, seo, leadgenerierung, email-marketing, shopware, concrete5, woocommerce, klick-tipp, getresponse, google analytics, heatmap, conversion optimierung",2012,5—9,Pinguinweb GmbHInformation nur für MitgliederD-45133 EssenDeutschland,Internetagenturen,https://www.pinguinweb.de/impressum/,
lintje KG,"3D-Visualisierung, Animation, Video, Foto","Die lintje KG ist Ansprechpartner unterschiedlichster Unternehmen, um innovativen Ideen ein Gesicht zu geben. Wir unterstützen Unternehmen aus Industrie, Medizin, Wissenschaft und Kunst in ihrer visuellen Kundenkommunikation. Unser Team visualisiert unter anderem komplexe technische Zusammenhänge aber auch spezielle Verfahrensweisen. Wir stellen Produkte illustrativ in ihrer Nutzungsumgebung dar, bauen virtuelle Anwendungsszenarien auf oder veranschaulichen Entwicklungen in einem frühen Stadium. Je nach Kundenwunsch werden mit unseren Film- oder Bildkompositionen Investoren, Messebesucher, Schulungsteilnehmer oder Endverbraucher angesprochen","Animation, Visualisierung, 3D, Marketing, Video, Film, Foto, Werbung",2003,10—19,lintje KGInformation gesperrtD-39104 MagdeburgDeutschland,"Werbeagenturen
Animation/
3D
Industriedesigner/
Produktdesigner",,http://www.lintje.de/
"Prega Design Agentur für Webentwicklung: Webdesign, Apps, eCommerce, Fi","Webentwicklung, Webdesign, Apps, eCommerce, Film- & Videoproduktion, Marketing Automation","PREGA Design – Ein Team mit umfassender Erfahrung aus zahlreichen Webdesign, Web Entwicklung und Media Projekten.Credo unseres Creative-Teams: keine Aufgabe ist zu komplex, keine Herausforderung zu groß. Unsere hochmotivierten, kreativen Experten begeistern, mit umfassendem Know-How, alle unsere Kunden. Wir machen Komplexes einfach und realisieren erfolgreich Projekte inWebentwicklungWebdesign | WordPress | Typo3Software-Entwicklung | ProgrammierungE-Magazin | Internet Zeitung | KundenmagazinApp Entwicklung iOS | Android | Progressive Web AppOnlineshop & Warenwirtschaft | JTL Shop | MAGENTO | PrestaShopVideografie | Video Marketing | Imagefilm | Produktfilm | ErklärvideosMarketing & Inbound Marketing BeratungDigital Marketing | Marketing AutomationCRM | SuiteCRM | SugarCRMfür unsere Kunden kreativ, nachhaltig, optimal.Die Zusammenarbeit mit uns bringt unseren Kunden Spaß, Freude und Erfolg!.Sie erhalten alle Lösungen kreativ und ganzheitlich aus einer Hand. Gerne überzeugen wir Sie.","Webentwicklung, Webdesign, Apps, e-Commerce, Film-, Videoproduktion, Marketing Automation",2014,5—9,"Prega Design Agentur für Webentwicklung: Webdesign, Apps, eCommerce, FiD-75038 OberderdingenDeutschland","Film/
Video
Internetagenturen
Web-
Konzepter",https://prega-design.de/impressum/,https://prega-design.de/
Queen Of The Neighborhood GmbH,Unternehmerplattform/App,QUEEN OF THE NEIGHBORHOOD (QUOTN) ist eine Plattform für nachhaltig arbeitende Unternehmerinnen. Wir bringen eine politisch motivierte Konsumentengruppe mit den richtigen Dienstleistern zusammen.,"UI Design, App Design",2019,5—9,Queen Of The Neighborhood GmbHD-10117 BerlinDeutschland,"Werbeagenturen
Internetagenturen
PR-
Agenturen",https://www.quotn.co/imprint.html,http://www.quotn.co/
"Kopfkunst, Agentur für Kommunikation GmbH",Kommunikationsagentur,"Mit Hingabe und tiefem Verständnis für Themen und Marken gestalten wir Erscheinungsbilder und Kampagnen. Wir denken interdisziplinär.Für unsere Kunden sind wir nicht einfach eine Werbe-, Design- oder PR-Agentur. Vielmehr sind wir Sparringspartner. Viele sagen, dass wir die entscheidende Frage mehr stellen, den entscheidenden Schritt weiter gehen.","Kommunikation, Design, Branding, PR-Redaktion",1992,20—49,"Kopfkunst, Agentur für Kommunikation GmbHD-48155 MünsterDeutschland","Internetagenturen
Corporate Designer
PR-
Agenturen",http://www.kopfkunst.net,http://www.kopfkunst.net/de/
zeit:raum film GmbH,Agentur für Film und digitale Medien,"Die zeit:raum Gruppe entwickelt zukunftsorientierte Lösungen in den Bereichen Film, CGI, Digital und Development. Kreative Ideen, höchste Bildästhetik und modernste Technik bilden dabei unser Fundament für außergewöhnliche Produktionen. Anspruchsvolle ausgezeichnete Film- und Digital- Projekte – von der Idee bis zur Reife.","CGI, Development, Screendesign, Filmproduktion, Postproduktion, Vr, Ar, Animation, Erklärfilm, 3D",2014,10—19,zeit:raum film GmbHD-66113 SaarbrückenDeutschland,"Werbeagenturen
Internetagenturen",http://zeitraum.com/impressum/,https://zeitraum.com/
Hesels vom Berg Werbeagentur GmbH,Full-Service Werbeagentur,"1994 gegründet und seitdem solide am Markt. Wir sind unaufgeregt, neugierig und versiert. Wir verknüpfen solides Marketinghandwerk mit fundierter Industrie- und Verbandserfahrung und mögen technische Produkte. Längst ist das eine Standbein noch in Print & Messe, das andere hüpft erfolgreich im Digitalen voran.Bei uns arbeiten sehr freundliche Menschen daran, hochkomplexe wie banale Produkte und Dienstleistungen überlegt und überlegen abzubilden. Das ist unsere Arbeit. Wir alle haben Familie, Hobbys und Interessen, daher arbeiten wir in der Agentur gern effizient – und leben lieber zuhause. Jede unserer Stellen ist auch in Teilzeit, als Freelancer oder zeitweise im Homeoffice umsetzbar.","Adobe CC, Photoshop, InDesign, Typo3, Webdesign",1994,5—9,Hesels vom Berg Werbeagentur GmbHD-46047 OberhausenDeutschland,"Messe
Werbeagenturen
Internetagenturen",https://www.heselsvomberg.de/impressum/,https://www.heselsvomberg.de/kluge-kommunikation/
Monacoframe,Werbe und Filmproduktion in München,"Hier wird Film gelebt. Mit unserem großen Pool an professionellen Regisseuren, Kameramännern, Sounddesignern, Cuttern und Spezialisten für Animation, bieten wir Ihnen Alles zur Verwirklichung Ihrer individuellen Projekte. Auf Grund unserer langjährigen Produktionserfahrung von Imagefilmen, TV Commercials, Animationen und Event Dokumentationen, wissen wir auf was es ankommt. Dadurch können wir offen, direkt und unkompliziert auf Ihre Wünsche und Vorstellungen eingehen.","Werbung, Film, Produktion, Agentur, Social, Media, Kamera, Sounddesign, Blog, Konzept, Homepage, Dop, Regisseur, Commercial, Advert, Marketing, München, Munich, Event, Content, Imagefilm, Editor",2016,5—9,MonacoframeD-80339 MünchenDeutschland,"Werbeagenturen
Audio/
Musik
Film/
Video",https://www.monacoframe.com/impressum-datenschutz-1,https://www.monacoframe.com/
